favorites_count,id,retweet_count
35931,892420643555336193,7630
31003,892177421306343426,5643
23326,891815181378084864,3740
39219,891689557279858688,7803
37464,891327558926688256,8394
18884,891087950875897856,2819
10966,890971913173991426,1835
60521,890729181411237888,17033
25974,890609185150312448,3878
29670,890240255349198849,6633
28563,890006608113172480,6619
25991,889880896479866881,4496
44729,889665388333682689,9022
25173,889638837579907072,4045
14106,889531135344209921,2038
23462,889278841981685760,4818
27110,888917238123831296,4060
23807,888804989199671297,3826
18375,888554962724278272,3141
20283,888078434458587136,3137
28172,887705289381826560,4879
43205,887517139158093824,10643
64017,887473957103951883,16261
31353,887343217045368832,9468
28523,887101392804085760,5397
32499,886983233522544640,6933
11154,886736880519319552,2903
20934,886680336477933568,4045
19680,886366144734445568,2862
111,886267009285017600,4
26060,886258384151887873,5711
0,886054160059072513,100
30352,885984800019947520,6075
33452,885528943205470208,5777
19072,885518971528720385,3378
0,885311592912609280,16723
20373,885167619883638784,3945
71752,884925521741709313,16332
25916,884876753390489601,5038
22645,884562892145688576,4251
25249,884441805382717440,5145
67562,884247878851493888,18360
18998,884162670584377345,2709
20356,883838122936631299,3098
42657,883482846933004288,8928
21114,883360690899218434,3345
34575,883117836046086144,6007
22253,882992080364220416,3514
26314,882762694511734784,4417
26073,882627270321602560,5492
41745,882268110199369728,10467
27310,882045870035918850,4411
22674,881906580714921986,3076
47199,881666595344535552,9650
116,881633300179243008,7
46083,881536004380872706,14460
21647,881268444196462592,4781
15939,880935762899988482,2532
19827,880872448815771648,3467
26526,880465832366813184,5625
25118,880221127280381952,3774
25730,880095782870896641,3928
20849,879862464715927552,3164
292,879674319642796034,10
21894,879492040517615616,2892
98601,879415818425184262,40264
15677,879376492567855104,2835
0,879130579576475649,6166
21008,879050749262655488,4261
17729,879008229531029506,2427
18065,878776093423087618,3708
28089,878604707211726852,6414
0,878404777348136964,1165
0,878316110768087041,6027
7210,878281511006478336,1165
39256,878057613040115712,6166
73941,877736472329191424,17176
0,877611172832227328,73
21178,877556246731214848,3450
25571,877316821321428993,4723
25284,877201837425926144,5057
19312,876838120628539392,3030
22109,876537666061221889,4264
17535,876484053909872640,2149
26134,876120275196170240,4241
23494,875747767867523072,3882
20497,875144289856114688,4458
25637,875097192612077568,5525
23844,875021211251597312,4287
25996,874680097055178752,4213
0,874434818259525634,13223
24354,874296783580663808,3746
21261,874057562936811520,3630
32051,874012996292530176,9331
22673,873580283840344065,3592
0,873337748698140672,1449
6703,873213775632977920,1449
25509,872967104147763200,4942
13805,872820683541237760,3398
19426,872620804844003328,3331
38216,872486979161796608,8260
32147,872122724285648897,7389
35261,871879754684805121,10032
18969,871762521631449091,3195
18940,871515927908634625,3186
0,871166179821445120,5236
19646,871102520638267392,5042
21356,871032628920680449,3505
31614,870804317367881728,5683
114,870726314365509632,3
11599,870656317836468226,2412
78100,870374049280663552,24346
20612,870308999962521604,3808
34357,870063196459192321,7635
40067,869772420881756160,9325
26557,869702957897576449,5801
15033,869596645499047938,2877
19248,869227993411051520,3477
61654,868880397819494401,13303
0,868639477480148993,1916
25142,868622495443632128,4888
9502,868552278524837888,1916
22856,867900495410671616,3857
32073,867774946302451713,6790
15190,867421006826221569,2303
0,867072653475098625,110
30464,867051520902168576,7299
18918,866720684873056260,4445
18220,866686824827068416,3233
115651,866450705531457537,32643
49559,866334964761202691,13223
0,866094527597207552,7780
24306,865718153858494464,5220
25059,865359393868664832,4648
26567,865006731092295680,7155
30597,864873206498414592,8085
13821,864279568663928832,2811
28421,864197398364647424,8237
19547,863907417377173506,3849
14499,863553081350529029,3910
0,863471782782697472,2266
22579,863432100342583297,4889
2090,863427515083354112,89
8343,863079547188785154,1036
8028,863062471531167744,2266
18249,862831371563274240,4811
16263,862722525377298433,3304
19445,862457590147678208,4609
70589,862096992088072192,21635
34337,861383897657036800,10023
16341,861288531465048066,3874
15909,861005113778896900,3574
0,860981674716409858,2011
0,860924035999428608,748
7137,860563773140209665,2011
22550,860524505164394496,4984
17516,860276583193509888,3295
15908,860184849394610176,5488
0,860177593139703809,29075
18699,859924526012018688,3861
14739,859851578198683649,3305
17807,859607811541651456,1473
85881,859196978902773760,28395
32333,859074603037188101,12840
0,858860390427611136,7657
14922,858843525470990336,3285
20595,858471635011153920,4589
15094,858107933456039936,2741
15423,857989990357356544,2454
32855,857746408056729600,10067
5641,857393404942143489,1556
19256,857263160327368704,4287
215,857214891891077121,17
0,857062103051644929,161
18106,857029823797047296,3774
15702,856543823941562368,2740
11413,856526610513747968,1784
0,856330835276025856,636
493,856288084350160898,15
26730,856282028240666624,5991
324,855862651834028034,24
4737,855860136149123072,934
11455,855857698524602368,2012
44172,855851453814013952,17217
25718,855818117272018944,5183
28755,855459453768019968,7859
0,855245323840757760,5691
0,855138241867124737,43
22006,854732716440526848,5804
28329,854482394044301312,6573
18283,854365224396361728,4503
30999,854120357044912130,7162
15729,854010172552949760,3024
27713,853760880890318849,5520
33630,853639147608842240,9659
15040,853299958564483072,3433
0,852936405516943360,1921
8771,852912242202992640,1744
14493,852672615818899456,2079
15855,852553447878664193,3346
32272,852311364735569921,9604
19475,852226086759018497,6622
11168,852189679701164033,1539
0,851861385021730816,19
15872,851591660324737024,3360
23682,851464819735769094,6837
20202,851224888060895234,5565
30093,850753642995093505,8838
12802,850380195714523136,2528
3380,850333567704068097,319
15972,850145622816686080,3688
19955,850019790995546112,4733
29757,849776966551130114,7372
0,849668094696017920,4813
15531,849412302885593088,3072
11186,849336543269576704,1848
41478,849051919805034497,8243
24692,848690551926992896,4215
24217,848324959059550208,4506
8020,848213670039564288,710
16012,848212111729840128,2959
0,847978865427394560,3172
0,847971574464610304,422
23090,847962785489326080,4944
5334,847842811428974592,1295
6855,847617282490613760,402
18448,847606175596138505,3350
20149,847251039262605312,4221
19563,847157206088847362,5729
21106,847116187444137987,3111
19760,846874817362120707,3843
43885,846514051647705089,11275
13869,846505985330044928,3005
31085,846153765933735936,8843
30582,846139713627017216,9819
15721,846042936437604353,2802
28770,845812042753855489,8513
24825,845677943972139009,4702
7514,845397057150107648,1764
23003,845306882940190720,5281
0,845098359547420673,7501
13443,844979544864018432,2507
14861,844973813909606400,3123
16256,844580511645339650,3059
13485,844223788422217728,2160
14986,843981021012017153,2898
21178,843856843873095681,4545
16680,843604394117681152,2694
21255,843235543001513987,5917
15102,842846295480000512,3580
6652,842765311967449089,1257
17906,842535590457499648,3453
24156,842163532590374912,5691
13828,842115215311396866,2988
0,841833993020538882,14827
25477,841680585030541313,7695
12518,841439858740625411,3630
19612,841320156043304961,5422
15678,841314665196081154,4582
22632,841077006473256960,5236
0,840761248237133825,1743
0,840728873075638272,15877
173,840698636975636481,2
12175,840696689258311684,962
8914,840632337062862849,1743
16310,840370681858686976,4492
19094,840268004936019968,5648
13307,839990271299457024,2247
27236,839549326359670784,7657
0,839290600511926273,141
26904,839239871831150596,6446
19515,838952994649550848,3948
11052,838921590096166913,2039
0,838916489579200512,35
0,838831947270979586,10885
10873,838561493054533637,1322
22339,838476387338051585,4718
0,838201503651401729,9944
1664,838150277551247360,328
138,838085839343206401,1
17502,838083903487373313,3098
33869,837820167694528512,7780
3831,837482249356513284,440
12695,837471256429613056,2254
15960,837110210464448512,2343
12692,836989968035819520,2275
19232,836753516572119041,4603
12556,836677758902222849,2205
0,836648853927522308,554
0,836397794269200385,27277
14684,836380477523124226,2967
21212,836260088725786625,4267
18996,836001077879255040,4221
0,835685285446955009,8067
17717,835574547218894849,3592
0,835536468978302976,1687
0,835309094223372289,20769
16400,835297930240217089,2987
7700,835264098648616962,1687
